variant_id,conductance_scale,start_id,optimizer_success,admissible_state,converged_root,max_abs_scaled_residual,max_abs_amount_rhs_fmol_s,max_abs_volume_rhs_pL_s,max_abs_regulatory_rhs_s_inv,max_abs_omitted_charge_rhs_fmol_equivalent_s,cost,optimality,nfev,boundary_hits,message,profile_stage
G2_LOW_APICAL_K_HEAVY_G30,30.0,upper_quartile,True,True,False,0.39886557287762886,0.019943278643881443,5.986346380355747e-09,0.0,0.009612296247861824,0.10908406260732534,3.151367709773206e-05,820,,`ftol` termination condition is satisfied.,screen
G2_LOW_APICAL_K_BIASED_G30,30.0,preferred,True,True,False,3.3916934798140894,0.06783386959628179,2.666244248007388e-07,0.0,0.023861042786193415,9.958722697188398,2.024567338155732e-05,355,ae4_carrier_amount_fmol_at_unit_rate_gauge;nhe1_capacity_fmol_s,`ftol` termination condition is satisfied.,screen
G2_LOW_APICAL_K_BIASED_G30,30.0,lower_quartile,True,True,False,0.39871294287247616,0.019935647143623808,6.0172581225971696e-09,0.0,0.009402175449057587,0.10978146785316631,8.257952901234333e-06,607,ae4_carrier_amount_fmol_at_unit_rate_gauge,`ftol` termination condition is satisfied.,screen
G2_LOW_APICAL_K_BIASED_G30,30.0,upper_quartile,True,True,False,0.3987129473100498,0.01993564736550249,6.0172597170790945e-09,0.0,0.0094021760125054,0.10978146785316646,1.4455556777419801e-06,712,ae4_carrier_amount_fmol_at_unit_rate_gauge,`ftol` termination condition is satisfied.,screen
G2_LOW_APICAL_MODERATE_NA_G30,30.0,preferred,True,True,False,0.39941290868954565,0.019970645434477283,6.027463394608738e-09,0.0,0.009419959838060057,0.11016309315539041,2.5964573349459533e-06,230,ae4_carrier_amount_fmol_at_unit_rate_gauge,`ftol` termination condition is satisfied.,screen
G2_LOW_APICAL_MODERATE_NA_G30,30.0,lower_quartile,True,True,False,0.39941291309610577,0.01997064565480529,6.027463287706404e-09,0.0,0.009419960166475845,0.1101630931553902,1.5252720433138726e-05,544,ae4_carrier_amount_fmol_at_unit_rate_gauge,`ftol` termination condition is satisfied.,screen
G2_LOW_APICAL_MODERATE_NA_G30,30.0,upper_quartile,True,True,False,0.39941290820302233,0.019970645410151117,6.02746281651214e-09,0.0,0.00941995944782478,0.11016309315539002,1.1012875455520576e-05,586,ae4_carrier_amount_fmol_at_unit_rate_gauge,`ftol` termination condition is satisfied.,screen
G2_LOW_APICAL_EQUAL_G30,30.0,preferred,True,True,False,0.39994877374357585,0.019997438687178792,6.0363354610474575e-09,0.0,0.009427280763766178,0.11048636120354209,5.486531682384822e-06,273,ae4_carrier_amount_fmol_at_unit_rate_gauge,`ftol` termination condition is satisfied.,screen
G2_LOW_APICAL_EQUAL_G30,30.0,lower_quartile,True,True,False,0.3999487866061055,0.019997439330305275,6.036337231658025e-09,0.0,0.009427281929992428,0.11048636120354213,5.306209501445879e-06,612,ae4_carrier_amount_fmol_at_unit_rate_gauge,`ftol` termination condition is satisfied.,screen
G2_LOW_APICAL_EQUAL_G30,30.0,upper_quartile,True,True,False,0.3999487872882182,0.01999743936441091,6.036336388528206e-09,0.0,0.009427282346915795,0.11048636120354216,1.3296915012019622e-06,599,ae4_carrier_amount_fmol_at_unit_rate_gauge,`ftol` termination condition is satisfied.,screen
G2_LOW_APICAL_NA_BIASED_G30,30.0,preferred,True,True,False,0.399513448272342,0.0199756724136171,6.031785329020656e-09,0.0,0.009406884464686426,0.11029093854323109,1.73698644289833e-05,409,ae4_carrier_amount_fmol_at_unit_rate_gauge,`ftol` termination condition is satisfied.,screen
G2_LOW_APICAL_NA_BIASED_G30,30.0,lower_quartile,True,True,False,0.3995134440795495,0.019975672203977474,6.031788347764765e-09,0.0,0.009406884021981974,0.11029093854323113,1.7659496792610743e-05,763,ae4_carrier_amount_fmol_at_unit_rate_gauge,`ftol` termination condition is satisfied.,screen
G2_LOW_APICAL_NA_BIASED_G30,30.0,upper_quartile,True,True,False,0.3995134401043496,0.01997567200521748,6.031790607296302e-09,0.0,0.009406883667358265,0.11029093854323094,2.160965919356581e-05,795,ae4_carrier_amount_fmol_at_unit_rate_gauge,`ftol` termination condition is satisfied.,screen
G2_BALANCED_APICAL_K_HEAVY_G30,30.0,preferred,True,True,False,0.4280678615419964,0.02140339307709982,6.9497989190793474e-09,0.0,0.008758312850965956,0.13443890240718734,1.6305774785634756e-05,501,ae4_carrier_amount_fmol_at_unit_rate_gauge,`ftol` termination condition is satisfied.,screen
G2_BALANCED_APICAL_K_HEAVY_G30,30.0,lower_quartile,True,True,False,0.4280678599374074,0.02140339299687037,6.949800141950978e-09,0.0,0.008758312810476242,0.13443890240718787,2.011798855124311e-05,653,ae4_carrier_amount_fmol_at_unit_rate_gauge,`ftol` termination condition is satisfied.,screen
