root_id,panel_id,source_class,source_scale,pump_capacity_scale,apical_pump_fraction,apical_k_fraction,ae4_cation_fraction,hydraulic_scale,hydraulic_mode,r2_member_id,r3_member_id,arm,solver_label,max_relative_state_difference,max_relative_flow_difference,max_relative_capacity_difference,r2_r3_isomorphism_gate_pass
N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1,N_ABS_NKCC,4.0,2.0,0.094586,0.4,0.2,1.0,H1,R2_G170_P21_FIGURE_VISUAL_TREFERENCE,R3_G170_P21_FIGURE_VISUAL_TREFERENCE,CCH_ONLY,production_radau,0.0,0.0,0.0,True
N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1,N_ABS_NKCC,4.0,2.0,0.094586,0.4,0.2,1.0,H1,R2_G170_P21_FIGURE_VISUAL_TREFERENCE,R3_G170_P21_FIGURE_VISUAL_TREFERENCE,CCH_ONLY,production_bdf,0.0,0.0,0.0,True
N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1,N_ABS_NKCC,4.0,2.0,0.094586,0.4,0.2,1.0,H1,R2_G170_P21_FIGURE_VISUAL_TREFERENCE,R3_G170_P21_FIGURE_VISUAL_TREFERENCE,CCH_IPR,production_radau,4.976122203027381e-15,3.9703609189526e-15,4.659472712783178e-16,True
N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1,N_ABS_NKCC,4.0,2.0,0.094586,0.4,0.2,1.0,H1,R2_G170_P21_FIGURE_VISUAL_TREFERENCE,R3_G170_P21_FIGURE_VISUAL_TREFERENCE,CCH_IPR,production_bdf,4.577494587179235e-15,2.5890662535035416e-14,4.4289664965442727e-16,True
N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1,N_ABS_NKCC,4.0,2.0,0.094586,0.4,0.2,1.0,H1,R2_G170_P21_FIGURE_VISUAL_TSLOW,R3_G170_P21_FIGURE_VISUAL_TSLOW,CCH_ONLY,production_radau,0.0,0.0,0.0,True
N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1,N_ABS_NKCC,4.0,2.0,0.094586,0.4,0.2,1.0,H1,R2_G170_P21_FIGURE_VISUAL_TSLOW,R3_G170_P21_FIGURE_VISUAL_TSLOW,CCH_ONLY,production_bdf,0.0,0.0,0.0,True
N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1,N_ABS_NKCC,4.0,2.0,0.094586,0.4,0.2,1.0,H1,R2_G170_P21_FIGURE_VISUAL_TSLOW,R3_G170_P21_FIGURE_VISUAL_TSLOW,CCH_IPR,production_radau,2.580737647835769e-15,3.924485288463856e-15,3.0762482812662365e-16,True
N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1,N_ABS_NKCC,4.0,2.0,0.094586,0.4,0.2,1.0,H1,R2_G170_P21_FIGURE_VISUAL_TSLOW,R3_G170_P21_FIGURE_VISUAL_TSLOW,CCH_IPR,production_bdf,2.230034718349598e-15,1.5641448042799366e-14,2.788209593949607e-16,True
N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1,N_ABS_NKCC,4.0,1.0,0.094586,0.2,0.05,1.0,H1,R2_G125_P21_PROSE_TFAST,R3_G125_P21_PROSE_TFAST,CCH_ONLY,production_radau,0.0,0.0,0.0,True
N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1,N_ABS_NKCC,4.0,1.0,0.094586,0.2,0.05,1.0,H1,R2_G125_P21_PROSE_TFAST,R3_G125_P21_PROSE_TFAST,CCH_ONLY,production_bdf,0.0,0.0,0.0,True
