calcium_uM,candidate_id,capacities_refitted_after_freeze,condition,max_dimensionless_conservation_ratio,maximum_flow_pL_s,mean_0_600_pL_s,message,minimum_flow_pL_s,numerical_gate_pass,root_id,routing_family,solver_success,source,source_path,source_sha256,status,target_share,total_0_600_pL
0.25,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA05_P1_H1_B00__share_0.30,False,share_0.30,0.0076014194938522905,0.001994215973077981,0.0012598930563535908,The solver successfully reached the end of the integration interval.,0.0009699389679239973,True,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA05_P1_H1:B00,AE4NA05,True,NEW_POST_CHECKPOINT_SIMULATION,,,COMPLETE,0.3,0.7559358338121546
0.5,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA05_P1_H1_B00__share_0.30,False,share_0.30,0.007837859421366717,0.002242105862694438,0.0012954284652257012,The solver successfully reached the end of the integration interval.,0.0009699389679239973,True,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA05_P1_H1:B00,AE4NA05,True,NEW_POST_CHECKPOINT_SIMULATION,,,COMPLETE,0.3,0.7772570791354207
0.1,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1_B00__inherited_baseline,False,inherited_baseline,1.1934897514720433e-05,0.001526961976061328,0.0014284762508940257,The solver successfully reached the end of the integration interval.,0.0011355148432486695,True,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,True,HASH_VALID_INHERITED_REUSE,results/14_scale_free_genotype_holdout/trajectories/N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1_B00_ca0.10_WT_production_radau.json,1580006faca77e5c44730a82b9aa742c3efb10178480293523babcbc968b1171,COMPLETE,,0.8570857505364154
0.25,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1_B00__inherited_baseline,False,inherited_baseline,0.006501466032204917,0.0020911887123706814,0.0016425393488196578,The solver successfully reached the end of the integration interval.,0.0011355148432486695,True,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,True,HASH_VALID_INHERITED_REUSE,results/14_scale_free_genotype_holdout/trajectories/N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1_B00_ca0.25_WT_production_radau.json,025c88e81f371501969ae8a8b947e3e74d0fe9562671aa4c4b4ae9dac3a3e0bb,COMPLETE,,0.9855236092917946
0.5,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1_B00__inherited_baseline,False,inherited_baseline,0.006515676886920119,0.002355110491305537,0.0017045401527560552,The solver successfully reached the end of the integration interval.,0.0011355148432486695,True,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,True,HASH_VALID_INHERITED_REUSE,results/14_scale_free_genotype_holdout/trajectories/N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1_B00_ca0.50_WT_production_radau.json,ce814e162d2f653f9ef846eaa45fd424404faecaaf7266b07ac4d9286e93dc94,COMPLETE,,1.022724091653633
0.1,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1_B00__share_0.10,False,share_0.10,7.750744490664374e-05,0.0016175298370332825,0.0013702655808150242,The solver successfully reached the end of the integration interval.,0.0011355148432486695,True,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,True,NEW_POST_CHECKPOINT_SIMULATION,,,COMPLETE,0.1,0.8221593484890145
0.25,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1_B00__share_0.10,False,share_0.10,0.006334488489301293,0.002328891624493534,0.0015475714930554907,The solver successfully reached the end of the integration interval.,0.0011355148432486695,True,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,True,NEW_POST_CHECKPOINT_SIMULATION,,,COMPLETE,0.1,0.9285428958332944
0.5,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1_B00__share_0.10,False,share_0.10,0.006295408638834488,0.002646204309130318,0.0015986527154541364,The solver successfully reached the end of the integration interval.,0.0011355148432486695,True,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,True,NEW_POST_CHECKPOINT_SIMULATION,,,COMPLETE,0.1,0.9591916292724818
0.1,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1_B00__share_0.30,False,share_0.30,0.0035242919693700965,0.0013243301652027225,0.0013220850484207535,The solver successfully reached the end of the integration interval.,0.0011355148432486695,True,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,True,NEW_POST_CHECKPOINT_SIMULATION,,,COMPLETE,0.3,0.793251029052452
0.25,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1_B00__share_0.30,False,share_0.30,0.006220801651579677,0.001543090264140107,0.0014340636290394685,The solver successfully reached the end of the integration interval.,0.0011355148432486695,True,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,True,NEW_POST_CHECKPOINT_SIMULATION,,,COMPLETE,0.3,0.8604381774236811
