alk_i_fmol,alk_l_fmol,apical_current_fmol_charge_s,basolateral_current_fmol_charge_s,cl_i_fmol,cl_l_fmol,include_in_rhs_sum,k_i_fmol,k_l_fmol,na_i_fmol,na_l_fmol,pathway,root_id,tic_i_fmol,tic_l_fmol,volume_i_pL,volume_l_pL
0.0018460155324911806,0.0,0.0,0.0,-0.0018460155324911806,0.0,True,0.0,0.0,0.0,0.0,AE2,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,0.0018460155324911806,0.0,0.0,0.0
0.006924702104421176,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.006924702104421176,0.0,NHE1,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,0.0,0.0,0.0,0.0
0.0,0.0,0.0065587101866440645,0.0,0.0,0.0,True,0.013117420373288129,-0.013117420373288129,-0.019676130559932194,0.019676130559932194,pump_apical,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.057975112946581885,0.0,0.0,True,0.11595022589316377,0.0,-0.17392533883974565,0.0,pump_basolateral,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,0.0,0.0,0.0,0.0
0.0,0.0,0.03246064319581763,0.0,0.0,0.0,True,-0.03246064319581763,0.03246064319581763,0.0,0.0,K_apical,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.14615804814261907,0.0,0.0,True,-0.14615804814261907,0.0,0.0,0.0,K_basolateral,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,0.0,0.0,0.0,0.0
0.0,0.0,-0.24315251447166264,0.0,-0.24315251447166264,0.24315251447166264,True,0.0,0.0,0.0,0.0,CaCC,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,0.0,0.0,0.0,0.0
0.0,0.0,0.1125672109329217,-0.1125672109329217,0.0,0.0,True,0.0,0.0,0.0,0.1125672109329217,paracellular_Na,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,0.0,0.0,0.0,0.0
0.0,0.0,-0.0007238773307532486,0.0007238773307532486,0.0,0.0,True,0.0,-0.0007238773307532486,0.0,0.0,paracellular_K,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,0.0,0.0,0.0,0.0
0.0,0.0,0.09708607393851813,-0.09708607393851813,0.0,-0.09708607393851813,True,0.0,0.0,0.0,0.0,paracellular_Cl,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,0.0,0.0,0.0,0.0
