admissible_state,ae4_expression,calcium_uM,converged_root,cost,max_abs_amount_rhs_fmol_s,max_abs_current_residual_A,max_abs_scaled_independent_rhs,max_abs_volume_rhs_pL_s,max_dimensionless_conservation_ratio,message,nfev,optimality,optimizer_success,rest_gate_pass,root_alias,root_id,seed_core_sha256,seed_id,seed_source_path,solution_core_sha256
True,0.05,0.25,True,7.117410652521979e-23,7.216449660063518e-16,4.52364397489937e-26,1.1926223897340549e-11,1.1926223897340549e-15,4.796510411075872e-06,`xtol` termination condition is satisfied.,99,7.831550480623194e-07,True,True,R03,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,d7d55be78a4d2a20cd151e48738eb06599fa1f031dc12d97830b717654003938,inherited_saved_rest,inherited,b5f6976a19bcbc9779ab0c2f031d8aaf5720a573500f730f91637b542fbbbe87
True,0.05,0.25,True,7.117395344779626e-23,3.0531133177191805e-16,2.261821987449685e-26,1.1926223897340549e-11,1.1926223897340549e-15,2.4980018054066022e-06,`xtol` termination condition is satisfied.,411,7.831548058997871e-07,True,True,R03,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,c697eee616115f644c3a5cabf96aa5377828354dbf3049cf07f05558497cb8f2,previous_routed_endpoint,results/ae4_routing_only/trajectories/N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00_ca0.25_routing_only_e0.05_production_radau.npz,0586fb07f79b75d53b55f129f0c88ff616a397f1451a0ba02a342dc74b422cce
True,1.0,0.5,True,3.754402011313824e-24,4.631711680858075e-16,1.6155871338926322e-26,2.738694687698384e-12,2.738694687698384e-16,1.6155871338926322e-06,`xtol` termination condition is satisfied.,193,3.6951441684530844e-08,True,True,R03,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,ad9a3125472395044b8d7022c0c00a674ccf394ad7a82f06410ffa0ac36ce14f,inherited_saved_rest,inherited,e3cd5dd78410e9615afa1e1c93c22a33131d4dc2e6b3525c787e4ddc8c5e067e
True,1.0,0.5,True,3.254926722255166e-24,1.8388068845354155e-16,6.462348535570529e-27,2.5478751053409354e-12,2.5478751053409354e-16,9.194034422677078e-07,`xtol` termination condition is satisfied.,168,2.6616714867047527e-07,True,True,R03,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,7f3a92be08f0c1f6d7b276a00309b2502c0e8a8aaa32cbbdf41a517d92842709,previous_routed_endpoint,results/ae4_routing_only/trajectories/N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00_ca0.50_routing_only_e1.00_production_radau.npz,9b895adbbf9f63a258d2c780c7de947aa716f0133bba779a33a6417829fa09f6
True,0.05,0.5,True,7.117410652521979e-23,7.216449660063518e-16,4.52364397489937e-26,1.1926223897340549e-11,1.1926223897340549e-15,4.796510411075872e-06,`xtol` termination condition is satisfied.,99,7.831550480623194e-07,True,True,R03,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,d7d55be78a4d2a20cd151e48738eb06599fa1f031dc12d97830b717654003938,inherited_saved_rest,inherited,b5f6976a19bcbc9779ab0c2f031d8aaf5720a573500f730f91637b542fbbbe87
True,0.05,0.5,True,7.117397447238553e-23,3.3306690738754696e-16,2.5849394142282115e-26,1.1926223897340549e-11,1.1926223897340549e-15,2.8622937353617317e-06,`xtol` termination condition is satisfied.,450,7.83154802477955e-07,True,True,R03,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,9911013c1519548b75b85bef2909bab4766fb08c63cf953fc00f0a1fcf2e3548,previous_routed_endpoint,results/ae4_routing_only/trajectories/N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00_ca0.50_routing_only_e0.05_production_radau.npz,3fbf54b16784bf5e5891b951f51fa2143ef42e6dfbd5005dbd75de6fb4bbce3b
True,1.0,0.1,True,1.279073963238082e-22,3.885780586188048e-16,1.9387045606711586e-26,1.599415044850616e-11,1.5994150448506161e-15,2.211772431870429e-06,`xtol` termination condition is satisfied.,409,1.2021028010086067e-06,True,True,R04,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1:B00,eff909f9a696d9f95d565efeedc9e4b3143deabb5e2c443cbdbc5173907757e8,inherited_saved_rest,inherited,7c28c5f6379b324c0ce4ce303f66303c672e14ee9f8aefcc675e36a1dedb2e12
True,1.0,0.1,True,1.2790731656097346e-22,3.0531133177191805e-16,1.6155871338926322e-26,1.599415044850616e-11,1.5994150448506161e-15,1.7763568394002503e-06,`xtol` termination condition is satisfied.,163,1.2021024765826606e-06,True,True,R04,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1:B00,82c48ca6a9d8aa879b7a23e0e1444ddeece0135d7a78d455d04895777498947a,previous_routed_endpoint,results/ae4_routing_only/trajectories/N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1:B00_ca0.10_routing_only_e1.00_production_radau.npz,e2e87dd6e18af7dded891cddb7802f1de9641f7474effd551fe84a4d17e4e60d
True,0.05,0.1,True,2.1542870203913952e-23,6.661338147750939e-16,3.554291694563791e-26,6.331740687315346e-12,6.331740687315346e-16,0.00021671553440683056,`xtol` termination condition is satisfied.,168,5.008423255153931e-07,True,True,R04,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1:B00,d7f81f8bb5d7d7a22aeae6d6c6f7c1cf845331cc4f1cc3ca4be5b5027cfe8c7f,inherited_saved_rest,inherited,7886efd1c344d1aa06473c09ba3f422027c71a79e2854387a72c71e8d04e19cd
True,0.05,0.1,True,2.1542649111463348e-23,2.7755575615628914e-16,3.2311742677852644e-27,6.331740687315346e-12,6.331740687315346e-16,0.00022026824808563103,`xtol` termination condition is satisfied.,103,5.008420707214667e-07,True,True,R04,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1:B00,120bbd6c9009fbec53215abbfe149fa86f2d21c60d111c5c4d9b4458b8752b3d,previous_routed_endpoint,results/ae4_routing_only/trajectories/N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1:B00_ca0.10_routing_only_e0.05_production_radau.npz,bd56298423688ebaa13d8b8f8a5a867a087942df15fc8011679d44461bc3e567
