variant_id,candidate_id,na_capacity_fraction,k_capacity_fraction,equilibrium_constant,saturation_strength,bath_hco3_mM,grid_axis,activity_scale,unit_contribution,fitted_contribution,calibration_residual,calibration_l2_error,calibration_max_abs_error,wt_baseline_closure_error,wt_baseline_admissible,assay_admissible,energetic_bias_source_supported,coherent_fixed_chassis_bath,fully_source_supported,knockout_target_read_by_calibrator,simulation_status,ae4_ko_endpoint_flow_ratio,ae4_ko_integrated_flow_ratio,wt_endpoint_flow
R2_0682_C8_213_SAT_fNa0.48387097_Keq10_sat100_B21,C8_213_SAT,0.48387096774193544,0.5161290322580645,10.0,100.0,21.0,Na_K_capacity_x_equilibrium_x_saturation,4.725678471084073,"[0.0005057060253855305, -0.0050619815293727055, 0.00911255100797435, -0.013668826511961525]","[0.002389804076861897, -0.023921297134381826, 0.04306298611503986, -0.06459447917255978]","[0.04127314275334188, -0.023921297134381826, 0.004179647438559871, 0.01317219818040019]",0.04966565238616644,0.04127314275334188,0.0014380885958962383,False,True,False,True,False,False,not_run_round2_closure_localization,,,
R2_0683_C8_213_SAT_fNa0.48387097_Keq100_sat0.01_B21,C8_213_SAT,0.48387096774193544,0.5161290322580645,100.0,0.01,21.0,Na_K_capacity_x_equilibrium_x_saturation,0.00027151182132007044,"[-37.76136688556996, -51.5127266513342, 178.54818707380832, -267.8222806107125]","[-0.010252657498636497, -0.01398631423426668, 0.048477943465806354, -0.07271691519870953]","[0.028630681177843488, -0.01398631423426668, 0.009594604789326368, 0.005049762154250445]",0.033658422860330765,0.028630681177843488,0.0009975847082482109,False,True,False,True,False,False,not_run_round2_closure_localization,,,
R2_0684_C8_213_SAT_fNa0.48387097_Keq100_sat0.1_B21,C8_213_SAT,0.48387096774193544,0.5161290322580645,100.0,0.1,21.0,Na_K_capacity_x_equilibrium_x_saturation,0.002715118169274208,"[-3.776136803516126, -5.151272701799072, 17.854819010630393, -26.78222851594559]","[-0.010252657644891663, -0.013986314107540898, 0.04847794350486512, -0.07271691525729768]","[0.028630681031588324, -0.013986314107540898, 0.009594604828385131, 0.005049762095662297]",0.033658422685607356,0.028630681031588324,0.000997584703152212,False,True,False,True,False,False,not_run_round2_closure_localization,,,
R2_0685_C8_213_SAT_fNa0.48387097_Keq100_sat1_B21,C8_213_SAT,0.48387096774193544,0.5161290322580645,100.0,1.0,21.0,Na_K_capacity_x_equilibrium_x_saturation,0.02715118164881558,"[-0.37761368150120395, -0.5151272705465637, 1.7854819040955352, -2.678222856143303]","[-0.01025265765951718, -0.01398631409486832, 0.04847794350877099, -0.07271691526315649]","[0.028630681016962804, -0.01398631409486832, 0.009594604832291007, 0.005049762089803483]",0.03365842266813501,0.028630681016962804,0.000997584702642612,False,True,False,True,False,False,not_run_round2_closure_localization,,,
R2_0686_C8_213_SAT_fNa0.48387097_Keq100_sat10_B21,C8_213_SAT,0.48387096774193544,0.5161290322580645,100.0,10.0,21.0,Na_K_capacity_x_equilibrium_x_saturation,0.27151181644422934,"[-0.0377613681616163, -0.05151272705832293, 0.17854819043987846, -0.2678222856598177]","[-0.010252657660979731, -0.013986314093601062, 0.04847794350916158, -0.07271691526374238]","[0.028630681015500255, -0.013986314093601062, 0.009594604832681597, 0.005049762089217591]",0.03365842266638778,0.028630681015500255,0.0009975847025916519,False,True,False,True,False,False,not_run_round2_closure_localization,,,
R2_0687_C8_213_SAT_fNa0.48387097_Keq100_sat100_B21,C8_213_SAT,0.48387096774193544,0.5161290322580645,100.0,100.0,21.0,Na_K_capacity_x_equilibrium_x_saturation,2.715118164398366,"[-0.00377613681627659, -0.00515127270586896, 0.0178548190442911, -0.02678222856643665]","[-0.010252657661125984, -0.013986314093474334, 0.048477943509200636, -0.07271691526380096]","[0.028630681015354, -0.013986314093474334, 0.009594604832720649, 0.005049762089159013]",0.03365842266621306,0.028630681015354,0.0009975847025865561,False,True,False,True,False,False,not_run_round2_closure_localization,,,
R2_0688_C8_213_SAT_fNa0.5_Keq0.01_sat0.01_B21,C8_213_SAT,0.5,0.5,0.01,0.01,21.0,Na_K_capacity_x_equilibrium_x_saturation,0.0,"[49.918990176789954, 40.66640883771178, -181.17079802900346, 271.7561970435052]","[0.0, 0.0, -0.0, 0.0]","[0.03888333867647999, 0.0, -0.03888333867647999, 0.07776667735295997]",0.09524433925320216,0.07776667735295997,0.0027096403272154363,False,True,False,True,False,False,not_run_round2_closure_localization,,,
R2_0689_C8_213_SAT_fNa0.5_Keq0.01_sat0.1_B21,C8_213_SAT,0.5,0.5,0.01,0.1,21.0,Na_K_capacity_x_equilibrium_x_saturation,0.0,"[4.991899031508622, 4.066641154198766, -18.117080371414776, 27.175620557122166]","[0.0, 0.0, -0.0, 0.0]","[0.03888333867647999, 0.0, -0.03888333867647999, 0.07776667735295997]",0.09524433925320216,0.07776667735295997,0.0027096403272154363,False,True,False,True,False,False,not_run_round2_closure_localization,,,
R2_0690_C8_213_SAT_fNa0.5_Keq0.01_sat1_B21,C8_213_SAT,0.5,0.5,0.01,1.0,21.0,Na_K_capacity_x_equilibrium_x_saturation,0.0,"[0.49918990328915835, 0.4066641181241527, -1.8117080428266221, 2.7175620642399334]","[0.0, 0.0, -0.0, 0.0]","[0.03888333867647999, 0.0, -0.03888333867647999, 0.07776667735295997]",0.09524433925320216,0.07776667735295997,0.0027096403272154363,False,True,False,True,False,False,not_run_round2_closure_localization,,,
R2_0691_C8_213_SAT_fNa0.5_Keq0.01_sat10_B21,C8_213_SAT,0.5,0.5,0.01,10.0,21.0,Na_K_capacity_x_equilibrium_x_saturation,0.0,"[0.0499189903302988, 0.04066641183945803, -0.18117080433951366, 0.27175620650927046]","[0.0, 0.0, -0.0, 0.0]","[0.03888333867647999, 0.0, -0.03888333867647999, 0.07776667735295997]",0.09524433925320216,0.07776667735295997,0.0027096403272154363,False,True,False,True,False,False,not_run_round2_closure_localization,,,
R2_0692_C8_213_SAT_fNa0.5_Keq0.01_sat100_B21,C8_213_SAT,0.5,0.5,0.01,100.0,21.0,Na_K_capacity_x_equilibrium_x_saturation,0.0,"[0.004991899033043709, 0.004066641184216231, -0.01811708043451988, 0.02717562065177982]","[0.0, 0.0, -0.0, 0.0]","[0.03888333867647999, 0.0, -0.03888333867647999, 0.07776667735295997]",0.09524433925320216,0.07776667735295997,0.0027096403272154363,False,True,False,True,False,False,not_run_round2_closure_localization,,,
R2_0693_C8_213_SAT_fNa0.5_Keq0.1_sat0.01_B21,C8_213_SAT,0.5,0.5,0.1,0.01,21.0,Na_K_capacity_x_equilibrium_x_saturation,0.0,"[49.1957663885603, -0.7253902503995627, -96.94075227632148, 145.41112841448222]","[0.0, -0.0, -0.0, 0.0]","[0.03888333867647999, -0.0, -0.03888333867647999, 0.07776667735295997]",0.09524433925320216,0.07776667735295997,0.0027096403272154363,False,True,False,True,False,False,not_run_round2_closure_localization,,,
R2_0694_C8_213_SAT_fNa0.5_Keq0.1_sat0.1_B21,C8_213_SAT,0.5,0.5,0.1,0.1,21.0,Na_K_capacity_x_equilibrium_x_saturation,0.0,"[4.919576681643585, -0.07253903333013031, -9.69407529662691, 14.541112944940364]","[0.0, -0.0, -0.0, 0.0]","[0.03888333867647999, -0.0, -0.03888333867647999, 0.07776667735295997]",0.09524433925320216,0.07776667735295997,0.0027096403272154363,False,True,False,True,False,False,not_run_round2_closure_localization,,,
R2_0695_C8_213_SAT_fNa0.5_Keq0.1_sat1_B21,C8_213_SAT,0.5,0.5,0.1,1.0,21.0,Na_K_capacity_x_equilibrium_x_saturation,0.0,"[0.49195766859223405, -0.0072539034159147826, -0.9694075303526385, 1.4541112955289577]","[0.0, -0.0, -0.0, 0.0]","[0.03888333867647999, -0.0, -0.03888333867647999, 0.07776667735295997]",0.09524433925320216,0.07776667735295997,0.0027096403272154363,False,True,False,True,False,False,not_run_round2_closure_localization,,,
R2_0696_C8_213_SAT_fNa0.5_Keq0.1_sat10_B21,C8_213_SAT,0.5,0.5,0.1,10.0,21.0,Na_K_capacity_x_equilibrium_x_saturation,0.0,"[0.04919576686350217, -0.0007253903424204957, -0.09694075304216335, 0.14541112956324503]","[0.0, -0.0, -0.0, 0.0]","[0.03888333867647999, -0.0, -0.03888333867647999, 0.07776667735295997]",0.09524433925320216,0.07776667735295997,0.0027096403272154363,False,True,False,True,False,False,not_run_round2_closure_localization,,,
R2_0697_C8_213_SAT_fNa0.5_Keq0.1_sat100_B21,C8_213_SAT,0.5,0.5,0.1,100.0,21.0,Na_K_capacity_x_equilibrium_x_saturation,0.0,"[0.004919576686393003, -7.253903425033977e-05, -0.009694075304285328, 0.01454111295642799]","[0.0, -0.0, -0.0, 0.0]","[0.03888333867647999, -0.0, -0.03888333867647999, 0.07776667735295997]",0.09524433925320216,0.07776667735295997,0.0027096403272154363,False,True,False,True,False,False,not_run_round2_closure_localization,,,
R2_0698_C8_213_SAT_fNa0.5_Keq1_sat0.01_B21,C8_213_SAT,0.5,0.5,1.0,0.01,21.0,Na_K_capacity_x_equilibrium_x_saturation,0.0,"[42.50048929233453, -41.14607337778011, -2.7088318291088314, 4.063247743663247]","[0.0, -0.0, -0.0, 0.0]","[0.03888333867647999, -0.0, -0.03888333867647999, 0.07776667735295997]",0.09524433925320216,0.07776667735295997,0.0027096403272154363,False,True,True,True,False,False,not_run_round2_closure_localization,,,
R2_0699_C8_213_SAT_fNa0.5_Keq1_sat0.1_B21,C8_213_SAT,0.5,0.5,1.0,0.1,21.0,Na_K_capacity_x_equilibrium_x_saturation,0.0,"[4.2500490382354785, -4.114607604975833, -0.2708828665192904, 0.4063242997789356]","[0.0, -0.0, -0.0, 0.0]","[0.03888333867647999, -0.0, -0.03888333867647999, 0.07776667735295997]",0.09524433925320216,0.07776667735295997,0.0027096403272154363,False,True,True,True,False,False,not_run_round2_closure_localization,,,
R2_0700_C8_213_SAT_fNa0.5_Keq1_sat1_B21,C8_213_SAT,0.5,0.5,1.0,1.0,21.0,Na_K_capacity_x_equilibrium_x_saturation,0.0,"[0.4250049049135681, -0.4114607631695617, -0.027088283488012843, 0.040632425232019265]","[0.0, -0.0, -0.0, 0.0]","[0.03888333867647999, -0.0, -0.03888333867647999, 0.07776667735295997]",0.09524433925320216,0.07776667735295997,0.0027096403272154363,False,True,True,True,False,False,not_run_round2_closure_localization,,,
