time_s,apical_export_difference_fmol,mass_balance_reconstruction_fmol,AE4_supply_difference_fmol,remaining_reservoir_difference_fmol,identity_error_fmol
45.84314717191371,4.174679407418425,4.174679335677656,5.548271910534974,21.072187306710887,7.174076888105674e-08
47.84314717191371,4.3195949953243185,4.319594923588841,5.754639398709127,21.133639206973854,7.173547711403216e-08
49.84314717191371,4.464280169749771,4.464280098017639,5.958180165100345,21.192494798936274,7.173213223410357e-08
51.84314717191371,4.608742265302648,4.6087421935720485,6.158976425504698,21.248828963786217,7.173059923815117e-08
53.84314717191371,4.752985088579115,4.752985016848385,6.357113811361566,21.302723526366748,7.173073068855729e-08
55.84314717191371,4.897009938909082,4.897009867176649,6.552680540823281,21.3542654055002,7.173243243840943e-08
57.84314717191371,5.040816382642311,5.040816310906724,6.745766662116143,21.403545083062987,7.173558724815621e-08
59.84314717191371,5.184402839567425,5.184402767827315,6.9364633675881695,21.45065533161442,7.174010985266932e-08
61.84314717191371,5.327767025701763,5.327766953955887,7.124862376331996,21.495690154229678,7.174587590697001e-08
63.84314717191371,5.470906285986884,5.470906214234084,7.311055382818176,21.53874390043766,7.175280014593e-08
65.8431471719137,5.61381784241054,5.613817770649774,7.495133568586567,21.57991052979036,7.176076532999787e-08
67.8431471719137,5.75649897705146,5.75649890528177,7.677187173728112,21.61928300029991,7.176968974675901e-08
69.8431471719137,5.8989471649960405,5.898947093216556,7.85730512464803,21.65695276328504,7.177948457837147e-08
71.8431471719137,6.0411601686301735,6.041160096840137,8.035574714432975,21.693009349446406,7.17900361379975e-08
73.8431471719137,6.183136102187638,6.183136030386393,8.212081332044898,21.72754003351207,7.180124494965412e-08
75.8431471719137,6.324873473433743,6.32487340162071,8.386908236527521,21.76062956676038,7.181303285364038e-08
77.8431471719137,6.466371207826923,6.466371136001634,8.56013637243047,21.792359968282405,7.182528971583224e-08
79.8431471719137,6.60762865931824,6.607628587480306,8.731844222723472,21.822810367096736,7.183793382381509e-08
81.8431471719137,6.7486456110345285,6.748645539183663,8.902107695581085,21.852056888250992,7.185086570160593e-08
83.8431471719137,6.8894222683814865,6.889422196517462,9.07100004155922,21.880172576895326,7.18640249530722e-08
85.8431471719137,7.029959246550457,7.0299591746731345,9.238591797851203,21.907227355031637,7.187732276037195e-08
87.8431471719137,7.170257553980892,7.1702574820902,9.404950756496524,21.933288006259893,7.189069162194528e-08
89.8431471719137,7.310318572991775,7.310318501087707,9.570141953613645,21.958418184379504,7.190406758894596e-08
91.8431471719137,7.450144038529127,7.450143966611741,9.734227676934156,21.98267844217598,7.191738671252779e-08
93.8431471719137,7.589736015766618,7.589735943836033,9.897267489124408,22.006126277141945,7.193058504384453e-08
95.8431471719137,7.72909687713043,7.729096805186785,10.059318264588903,22.028816191255686,7.19436448193278e-08
97.8431471719137,7.868229279188159,7.868229207231661,10.220434237653887,22.050799762275794,7.19564985374177e-08
99.8431471719137,8.007136139737446,8.007136067768329,10.380667060227376,22.072125724312613,7.196911688822638e-08
101.8431471719137,8.145820615347331,8.145820543365872,10.540065867221273,22.09284005570897,7.198145901554653e-08
103.8431471719137,8.284286079540044,8.284286007546527,10.698677348200953,22.112986072507994,7.199351692577238e-08
105.8431471719137,8.422536101748731,8.422536029743476,10.856545823896617,22.13260452600671,7.200525509176714e-08
107.8431471719137,8.560574427145971,8.560574355129312,11.013713326368423,22.15173370309268,7.201665930267609e-08
109.8431471719137,8.698404957405172,8.698404885377457,11.170219681763408,22.170409528239517,7.202771534764452e-08
111.8431471719137,8.836031732431655,8.83603166039325,11.326102594736671,22.18866566619699,7.203840546310403e-08
113.8431471719137,8.973458913080362,8.973458841031643,11.481397733732239,22.20653362455416,7.204871899091359e-08
115.8431471719137,9.1106907648616,9.110690692802937,11.63613881643089,22.22404285548152,7.205866303650055e-08
117.8431471719137,9.2477316426244,9.24773157055617,11.790357694773405,22.241220856070804,7.206823049443756e-08
119.8431471719137,9.384585976198222,9.384585904120797,11.944084439058775,22.258093266791548,7.207742491743829e-08
121.8431471719137,9.521258256966744,9.521258184880502,12.097347420698453,22.27468396767152,7.208624275278908e-08
123.8431471719137,9.657753025342926,9.657752953248224,12.250173393280395,22.29101517188574,7.20947017640583e-08
125.8431471719137,9.794074859111005,9.7940747870082,12.40258757166108,22.30710751650645,7.210280550395964e-08
127.8431471719137,9.930228362598788,9.930228290488238,12.554613708860536,22.322980150225867,7.211055041977943e-08
