time_s,q_pL_s,na_i_mM,k_i_mM,cl_i_mM,T_i_mM,A_i_mM,ph_i,hco3_i_mM,V_i_pL,V_l_pL,cl_l_mM,ph_l,osm_lumen_mOsm,N,H,E,B,J4,P,CaCC,paraCl,Va_V,Vb_V,charge_max_fmol,current_residual_A,max_amount_rhs,max_volume_rhs
3025.0,0.0011942199556664703,12.42876612676131,121.80909198862462,61.4363206426756,18.85793076812504,29.077037696576564,7.311422539075415,17.7488994118216,1.7853094399158946,0.10597109977833236,146.46065985018592,6.68780117920912,301.44291066176265,0.14468316503173842,0.0008742657448217231,0.0010518368712147518,0.00014129328559641248,0.0,0.04857041060844291,0.2902033583151029,0.11529640498157749,-0.040716913607864794,-0.08122712308196858,1.2803980098397005e-11,4.2005265481208437e-26,0.00033233182756134405,2.062951318996392e-06
3030.0,0.0011942226222614984,12.428659778957243,121.80931792401745,61.43656616283915,18.858063685362627,29.07716322837557,7.311428489548635,17.749038343988072,1.785319707484525,0.1059711131113075,146.46067479771565,6.687802525782792,301.4429109405312,0.14468249711919726,0.0008742239991996385,0.001051846025560205,0.00014083700654637845,0.0,0.0485699837289884,0.29020399244282263,0.11529663723291986,-0.04071684776214648,-0.08122714414396394,1.2803980098397005e-11,6.462348535570529e-27,0.0003292928698861719,2.0441049165844088e-06
3035.0,0.0011942252644855517,12.428554405127436,121.80954178473556,61.436809441713585,18.8581953891165,29.077287600603615,7.311434384428827,17.749176004830936,1.7853298812515779,0.10597112632242776,146.46068960718085,6.687803858880641,301.4429112167458,0.14468183528036013,0.00087418264614914,0.0010518550958136417,0.00014038491353212613,0.0,0.04856956075204938,0.29020462077149034,0.11529686735932008,-0.040716782517023896,-0.08122716501164681,1.2803980098397005e-11,1.2924697071141057e-26,0.0003262816785502831,2.0254304213527564e-06
3040.0,0.0011942278825612497,12.428449996340738,121.80976358987908,61.4370504997295,18.85832589044367,29.07741082403226,7.3114402242417835,17.749312405978632,1.7853399620726773,0.10597113941280625,146.4607042798648,6.687805178643221,301.44291149043,0.14468117946023834,0.0008741416819126486,0.0010518640827490275,0.00013993696810915115,0.0,0.04856914164196825,0.2902052433541336,0.1152970953802261,-0.04071671786702916,-0.0812271856868209,1.2818190953112207e-11,3.2311742677852644e-26,0.00032329800011876575,2.006926275477036e-06
3045.0,0.001194230476709185,12.428346543748178,121.80998335837127,61.437289357131476,18.85845520030069,29.077532909332028,7.311446009508227,17.749447558953257,1.785349950795661,0.10597115238354593,146.46071881703872,6.687806485209546,301.44291176160687,0.1446805296043395,0.0008741011027695768,0.0010518729871331794,0.0001394931321867579,0.0,0.0485687263634132,0.2902058602432946,0.11529732131490766,-0.04071665380674407,-0.08122720617127299,1.2803980098397005e-11,1.2924697071141057e-26,0.00032034158347102326,1.988590922605846e-06
3050.0,0.001194233047147933,12.42824403858219,121.81020110896029,61.437526033979886,18.858583329544576,29.07765386707346,7.311451740743865,17.749581475171606,1.785359848260651,0.10597116523573967,146.4607332199619,6.687807778717098,301.4429120302994,0.1446798856586608,0.0008740609050359723,0.0010518818097258378,0.00013905336802451411,0.0,0.048568314881375176,0.2902064714910351,0.11529754518245776,-0.04071659033079967,-0.0812272264667731,1.283240180782741e-11,2.261821987449685e-26,0.00031741217977607206,1.9704228261627644e-06
3055.0,0.0011942355940940592,12.428142472155892,121.81041686022088,61.43776055015248,18.858710288933715,29.07777370772799,7.311457418459432,17.74971416594607,1.785369655300122,0.1059711779704703,146.46074748988187,6.687809059301859,301.44291229653066,0.14467924756968417,0.0008740210850641388,0.001051890551279727,0.0001386176382292963,0.0,0.04856790716116507,0.29020707714893956,0.11529776700179438,-0.040716527433875736,-0.08122724657507462,1.2803980098397005e-11,3.2311742677852644e-26,0.0003145095424688382,1.9524204617721135e-06
3060.0,0.0011942381177621698,12.428041835862299,121.81063063055596,61.43799292534618,18.85883608912874,29.077892441668926,7.311463043160745,17.74984564248562,1.7853793727389733,0.10597119058881085,146.4607616280343,6.687810327098317,301.44291256032295,0.14467861528437242,0.0008739816392422699,0.0010518992125406182,0.0001381859057518984,0.0,0.048567503168410575,0.29020767726812147,0.11529798679166232,-0.040716465110700394,-0.08122726649791451,1.2803980098397005e-11,3.554291694563791e-26,0.0003116334272348642,1.93458232753416e-06
3065.0,0.0011942406183648975,12.427942121173595,121.81084243819807,61.43822317907851,18.858960740693405,29.07801007917236,7.311468615348752,17.749975915896744,1.7853890013945959,0.10597120309182449,146.46077563564336,6.687811582239486,301.44291282169877,0.1446779887501679,0.0008739425639940466,0.0010519077942474024,0.0001377581338843085,0.0,0.048567102869053455,0.2902082718992256,0.1152982045706341,-0.04071640335604968,-0.08122728623701335,1.2789769243681803e-11,4.2005265481208437e-26,0.0003087835919869386,1.9169069237396936e-06
3070.0,0.0011942430961129403,12.42784331964041,121.81105230121126,61.43845133068943,18.859084254095503,29.07812663041812,7.3114741355195765,17.7501049971844,1.7853985420769416,0.1059712154805647,146.46078951392167,6.687812824856926,301.4429130806802,0.14467736791498306,0.0008739038557783187,0.0010519162971321476,0.00013733428625562375,0.0,0.048566706229346605,0.29020886109243366,0.11529842035711269,-0.04071634216474706,-0.08122730579407575,1.2775558388966601e-11,2.261821987449685e-26,0.0003059597968453065,1.8993927650909348e-06
