time_s,q_out_pL_s,na_i_mM,k_i_mM,cl_i_mM,tic_i_mM,hco3_i_mM,ph_i,volume_i_pL,osm_lumen_mOsm,v_apical_V,v_basolateral_V,v_transepithelial_V,nbc_activation,nbc_cycle_inward_fmol_s,nbc_current_A,nhe1_multiplier,nhe1_inward_fmol_s,nkcc1_cl_inward_fmol_s,ae4_cl_inward_fmol_s,ae2_cl_inward_signed_fmol_s,cacc_cl_export_fmol_s,paracellular_cl_return_fmol_s,nkcc1_cycle_inward_fmol_s,nkcc1_activity_multiplier,nkcc1_x_i_mM4,nbc_hco3_inward_fmol_s,pump_total_cycles_fmol_s,ae4_na_cell_source_fmol_s,ae4_k_cell_source_fmol_s,ae4_na_branch_export_fmol_s,ae4_k_branch_export_fmol_s,ae4_tic_cell_source_fmol_s,ae4_ta_cell_source_fmol_s,ae2_positive_cl_loading_fmol_s,cacc_recruitment_factor,effective_cacc_conductance_S
2236.0,0.0011932693299749554,12.466798141208116,121.72803929388881,61.34894405598036,18.8106485200583,17.69932589034607,7.309240141887704,1.7816538289865127,301.44281090184995,-0.040740323914746385,-0.08121951538628873,-0.040479191471542345,1.0,0.00030462952626168766,2.9392281014917197e-14,2.3,0.0008897401849494453,0.28983911072565693,0.0,0.0010485540971124988,0.28997710660621984,0.11521347984898354,0.14491955536282847,1.75,5711625.69050863,0.0006092590525233753,0.04872261544842112,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0010485540971124988,0.10492731182225479,3.2947175912188008e-09
2237.0,0.0011932716098343788,12.46670666004224,121.72823471976457,61.34915327670613,18.810761646044657,17.699444808474567,7.3092454975985595,1.781662581647112,301.4428111419884,-0.04074026790252836,-0.08121953384280915,-0.04047926594028079,1.0,0.0003042366907927593,2.9354378154229126e-14,2.3,0.0008897018248658344,0.28983798434549535,0.0,0.001048562004453318,0.2899776496147723,0.11521367900447443,0.14491899217274767,1.75,5711631.90524801,0.0006084733815855186,0.04872225042791356,0.0,0.0,-0.0,-0.0,0.0,0.0,0.001048562004453318,0.10492731182225479,3.2947175912188008e-09
2238.0,0.0011932738855056193,12.466615348178097,121.7284297821872,61.34936211460113,18.810874565592258,17.699563508265875,7.309250842961949,1.7816713183082862,301.4428113816814,-0.040740211992631364,-0.08121955226449008,-0.04047934027185872,1.0,0.00030384458073557703,2.931654528513431e-14,2.3,0.0008896635407417368,0.2898368600008428,0.0,0.0010485698971398566,0.2899781916240758,0.11521387779286527,0.1449184300004214,1.75,5711638.108768515,0.0006076891614711541,0.048721886077708096,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0010485698971398566,0.10492731182225479,3.2947175912188008e-09
2239.0,0.001193276156996398,12.466524205299205,121.72862448184038,61.34957057036599,18.810987279076226,17.699681990120823,7.3092561779984315,1.7816800389991916,301.44281162092994,-0.040740156184868544,-0.08121957065139881,-0.04047941446653027,1.0,0.00030345319474688645,2.927878227802838e-14,2.3,0.0008896253324193989,0.28983573768806037,0.0,0.0010485777751994153,0.28997873263597784,0.1152140762148371,0.14491786884403018,1.75,5711644.30109016,0.0006069063894937729,0.04872152239657095,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0010485777751994153,0.10492731182225479,3.2947175912188008e-09
2240.0,0.0011932784243144257,12.466433231089614,121.72881881940663,61.34977864470024,18.8110997868711,17.6998002544396,7.3092615027285355,1.7816887437489388,301.4428118597349,-0.040740100479053395,-0.08121958900360246,-0.040479488524549065,1.0,0.0003030625314856682,2.924108900352265e-14,2.3,0.0008895871997413385,0.2898346174035143,0.0,0.0010485856386592523,0.2899792726523231,0.11521427427106955,0.14491730870175715,1.75,5711650.482232929,0.0006061250629713364,0.0487211593832703,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0010485856386592523,0.10492731182225479,3.2947175912188008e-09
2241.0,0.0011932806874673935,12.46634242523406,121.7290127955671,61.34998633830202,18.81121208935066,17.699918301621587,7.309266817172735,1.7816974325865773,301.4428120980969,-0.040740044874999735,-0.08121960732116806,-0.04047956244616833,1.0,0.00030267258961347206,2.9203465332476314e-14,2.3,0.0008895491425505097,0.2898334991435737,0.0,0.0010485934875465676,0.28997981167495257,0.11521447196224123,0.14491674957178685,1.75,5711656.652216791,0.0006053451792269441,0.04872079703657694,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0010485934875465676,0.10492731182225479,3.2947175912188008e-09
2242.0,0.001193282946462984,12.466251787417795,121.72920641100163,61.35019365186822,18.811324186888083,17.700036132065485,7.309272121351471,1.781706105541113,301.44281233601697,-0.04073998937252175,-0.08121962560416245,-0.0404796362316407,1.0,0.0003022833677945451,2.91659111360088e-14,2.3,0.0008895111606901452,0.2898323829046214,0.0,0.0010486013218885173,0.28998034970570385,0.11521466928902915,0.1449161914523107,1.75,5711662.81106164,0.0006045667355890902,0.048720435355263624,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0010486013218885173,0.10492731182225479,3.2947175912188008e-09
2243.0,0.0011932852013088607,12.466161317326755,121.7293996663887,61.350400586094395,18.811436079855795,17.700153746169203,7.309277415285136,1.7817147626414904,301.4428125734958,-0.04073993397143396,-0.08121964385265236,-0.0404797098812184,1.0,0.0003018948646954208,2.9128426285460145e-14,2.3,0.0008894732540038786,0.28983126868304093,0.0,0.001048609141712198,0.28998088674641126,0.11521486625210924,0.14491563434152047,1.75,5711668.958787366,0.0006037897293908416,0.04872007433810567,0.0,0.0,-0.0,-0.0,0.0,0.0,0.001048609141712198,0.10492731182225479,3.2947175912188008e-09
2244.0,0.001193287452012673,12.466071014647397,121.72959256240564,61.35060714167497,18.811547768625644,17.700271144330003,7.309282698994084,1.781723403916609,301.4428128105344,-0.0407398786715512,-0.08121966206670439,-0.04047978339515319,1.0,0.0003015070789850474,2.9091010652403374e-14,2.3,0.0008894354223356598,0.28983015647522253,0.0,0.001048616947044663,0.28998142279890526,0.11521506285215616,0.14491507823761127,1.75,5711675.095413822,0.0006030141579700948,0.048719713983880406,0.0,0.0,-0.0,-0.0,0.0,0.0,0.001048616947044663,0.10492731182225479,3.2947175912188008e-09
2245.0,0.0011932896985820647,12.465980879066857,121.7297850997283,61.3508133193029,18.81165925356871,17.700388326944317,7.309287972498623,1.7817320293953087,301.4428130471333,-0.04073982347268869,-0.08121968024638504,-0.04047985677369635,1.0,0.0003011200093350192,2.905366410866683e-14,2.3,0.0008893976655298052,0.2898290462775652,0.0,0.001048624737912909,0.28998195786501363,0.11521525908984317,0.1449145231387826,1.75,5711681.220960813,0.0006022400186700384,0.048719354291367686,0.0,0.0,-0.0,-0.0,0.0,0.0,0.001048624737912909,0.10492731182225479,3.2947175912188008e-09
