attempt_id,candidate,capacity,domain_pass,fold,lower_fold,reference,root_id,seed_kind,upper_fold
legacy_04,1.4087747389919849e-08,K_apical,True,2.5156691767714014,0.01,5.6000000000000005e-09,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA05_P1_H1:B00,inherited_root,100.0
legacy_04,1.3906849075325752e-08,K_basolateral,True,1.6555772708721135,0.01,8.399999999999999e-09,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA05_P1_H1:B00,inherited_root,100.0
legacy_04,2.6526723785206468e-08,CaCC,True,0.8448001205479766,0.01,3.14e-08,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA05_P1_H1:B00,inherited_root,100.0
legacy_04,0.0002000000000002003,CO2_basolateral,True,0.010000000000010015,0.01,0.02,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA05_P1_H1:B00,inherited_root,100.0
legacy_04,0.00010000000000010014,CO2_apical,True,0.010000000000010015,0.01,0.01,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA05_P1_H1:B00,inherited_root,100.0
legacy_04,2.992781151135477e-10,paracellular_Na,True,0.997593717045159,0.01,3e-10,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA05_P1_H1:B00,inherited_root,100.0
legacy_04,4.735016519788896e-11,paracellular_K,True,0.9470033039577791,0.01,5e-11,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA05_P1_H1:B00,inherited_root,100.0
legacy_04,2.16192202768217e-10,paracellular_Cl,True,0.864768811072868,0.01,2.5e-10,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA05_P1_H1:B00,inherited_root,100.0
legacy_04,5.962034554789923e-11,paracellular_HCO3,True,1.1924069109579845,0.01,5e-11,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA05_P1_H1:B00,inherited_root,100.0
legacy_05,13.730428921299227,AE4,True,91.45910710565674,0.01,0.1501264265070657,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1:B00,inherited_root,100.0
legacy_05,0.24637463082983932,NKCC1,True,0.7699207213432478,0.01,0.32,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1:B00,inherited_root,100.0
